7zip 26.00-1
a52dec 0.8.0-3
aalib 1.4rc5-19
aardvark-dns 1.17.0-1
abseil-cpp 20250814.1-1
accountsservice 26.12.8-1
acl 2.3.2-1
ada 3.4.3-1
adwaita-cursors 49.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
age 1.3.1-1
alacritty 0.16.1-1
alsa-card-profiles 1:1.6.2-1
alsa-lib 1.2.15.3-2
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
amd-ucode 20260309-1
ansible 13.4.0-2
ansible-core 2.20.3-1
aom 3.13.2-1
apparmor 4.1.7-1
appstream 1.1.2-1
arc-gtk-theme 20221218-2
arch-wiki-docs 20260301-1
archlinux-keyring 20260301-1
argon2 20190702-6
at-spi2-core 2.58.4-1
attr 2.5.2-1
audit 4.1.3-1
autoconf 2.72-1
automake 1.18.1-1
autotiling 1.9.3-4
avahi 1:0.9rc3-1
ayatana-ido 0.10.4-1
babl 0.1.124-1
base 3-3
base-devel 1-2
bash 5.3.9-1
bat 0.26.1-2
binutils 2.46-1
bison 3.8.2-8
blas 3.12.1-2
bluetui 0.8.1-1
bluez 5.86-4
bluez-libs 5.86-4
bluez-utils 5.86-4
boost-libs 1.89.0-4
borg 1.4.4-1
breeze-icons 6.24.0-1
brltty 6.9-2
brotli 1.2.0-1
btop 1.4.6-1
bubblewrap 0.11.1-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.122-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
calc 2.16.1.2-1
capstone 5.0.7-2
cargo-sweep 0.8.0-2
catatonit 0.2.1-2
cblas 3.12.1-2
cdparanoia 10.2-9
cglm 0.9.6-1
chromium 146.0.7680.153-1
clamav 1.5.2-1
clang 22.1.1-1
clang20 20.1.8-1
clucene 2.3.3.4-17
cmake 4.3.0-2
code 1.112.0-1
compiler-rt 22.1.1-1
compiler-rt20 20.1.8-1
confuse 3.3-4
conmon 1:2.2.1-1
containerd 2.2.2-1
containers-common 1:0.67.0-1
copyparty 1.20.12-1
copyq 13.0.0-1
coreutils 9.10-1
cowsay 3.8.4-1
cpio 2.15-3
cppdap 1.58.0-2
cracklib 2.10.3-1
criu 4.2-3
crun 1.26-3
cryptsetup 2.8.4-1
curl 8.19.0-1
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-glib 0.114-1
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.39-1
diffutils 3.12-2
